id,best_t_cost=-1,best_t_pf=-1,sdp_pf=-1,states,t_changes_pf=-1,t_changes_proba_pf=-1,t_cost_pf=-1,ts
157838949,1.2,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 9)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 10)])]",0.03999999999999998,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",[172187856],[1.0],1.2,11
157838221,1.2,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 10)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 15)])]",0.03999999999999998,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",[172187128],[1.0],1.2,11
157897269,6.977728,"[OrderedDict([('copies', 1), ('name', 'send4_0-toward:(25, 28, 20)'), ('contact_ids', [26, 29, 21]), ('source_node', 5)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 10)])]",0.08085759999999996,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[172246176, 172187154, 172206810, 176970096]","[0.8000000000000002, 0.15999999999999998, 0.03199999999999999, 0.007999999999999995]",6.977728,11
157838247,5.0297600000000005,"[OrderedDict([('copies', 1), ('name', 'send11_0-toward:(28, 20)'), ('contact_ids', [29, 21]), ('source_node', 12)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 10)])]",0.18899199999999994,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0)","[172187154, 172206810, 176970096]","[0.8, 0.15999999999999998, 0.03999999999999998]",5.0297600000000005,11
157845267,1.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 7)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 9)])]",0.19999999999999996,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0)",[172194174],[1.0],1.0,11
157844539,1.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 7)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 15)])]",0.19999999999999996,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1)",[172193446],[1.0],1.0,11
157903587,6.786240000000001,"[OrderedDict([('copies', 1), ('name', 'send4_0-toward:(25, 28, 20)'), ('contact_ids', [26, 29, 21]), ('source_node', 5)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 7)])]",0.234048,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[172252494, 172193472, 172213128, 176976414]","[0.8000000000000002, 0.15999999999999998, 0.03199999999999999, 0.007999999999999995]",6.786240000000001,11
157844565,4.860799999999999,"[OrderedDict([('copies', 1), ('name', 'send11_0-toward:(28, 20)'), ('contact_ids', [29, 21]), ('source_node', 12)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 7)])]",0.32415999999999995,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)","[172193472, 172213128, 176976414]","[0.8, 0.15999999999999998, 0.03999999999999998]",4.860799999999999,11
158370147,3.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 3)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 9)])]",0.19999999999999996,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",[172719054],[1.0],3.0,11
158369419,3.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 3)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 15)])]",0.19999999999999996,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",[172718326],[1.0],3.0,11
158428467,8.516800000000002,"[OrderedDict([('copies', 1), ('name', 'send4_0-toward:(25, 28, 20)'), ('contact_ids', [26, 29, 21]), ('source_node', 5)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 3)])]",0.22176000000000004,"(0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","[172777374, 172718352, 172738008, 177501294]","[0.8000000000000002, 0.15999999999999998, 0.03199999999999999, 0.007999999999999995]",8.516800000000002,11
157897755,5.828800000000001,"[OrderedDict([('copies', 1), ('name', 'send4_0-toward:(25, 28, 20)'), ('contact_ids', [26, 29, 21]), ('source_node', 5)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 9)])]",0.04255999999999998,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[172246662, 172187640, 172207296, 176970582]","[0.8000000000000002, 0.15999999999999998, 0.03199999999999999, 0.007999999999999995]",5.828800000000001,11
157838733,4.016,"[OrderedDict([('copies', 1), ('name', 'send11_0-toward:(28, 20)'), ('contact_ids', [29, 21]), ('source_node', 12)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 9)])]",0.15519999999999995,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0)","[172187640, 172207296, 176970582]","[0.8, 0.15999999999999998, 0.03999999999999998]",4.016,11
157858389,2.4400000000000004,"[OrderedDict([('copies', 1), ('name', 'send5_0-toward:(20,)'), ('contact_ids', [21]), ('source_node', 6)]), OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 9)])]",0.48799999999999993,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[172207296, 176970582]","[0.8, 0.19999999999999996]",2.4400000000000004,11
