Contact Id,TxStart [s],TxStart [UTCG],TxStop [s],TxStop [UTCG],SourceEid,SourceName,DestinEid,DestinName,Avg. Delay [s],Data Rate [Bytes/s],Volume [Bytes],Region
168,8410,1 Jan 2023 12:20:09.872,40511,1 Jan 2023 21:15:10.840,10,[10] ls-06,25,[25] north0,0.0233491606642021,1875000,60189375000,C
169,8410,1 Jan 2023 12:20:09.872,40511,1 Jan 2023 21:15:10.840,25,[25] north0,10,[10] ls-06,0.0233491606642021,12500000,401262500000,C
172,10191,1 Jan 2023 12:49:50.609,28009,1 Jan 2023 17:46:48.478,12,[12] ls-08,24,[24] circ,0.0167399877246637,1875000,33408750000,D
173,10191,1 Jan 2023 12:49:50.609,28009,1 Jan 2023 17:46:48.478,24,[24] circ,12,[12] ls-08,0.0167399877246637,12500000,222725000000,D
176,11310,1 Jan 2023 13:08:29.506,40967,1 Jan 2023 21:22:46.067,9,[9] ls-05,27,[27] south0,0.0238562428022922,1875000,55606875000,E
177,11310,1 Jan 2023 13:08:29.506,40967,1 Jan 2023 21:22:46.067,27,[27] south0,9,[9] ls-05,0.0238562428022922,12500000,370712500000,E
180,13341,1 Jan 2023 13:42:20.017,60947,2 Jan 2023 02:55:46.237,25,[25] north0,3,[3] gs-madrid,1.28868906426366,12500000,595075000000,B
181,13343,1 Jan 2023 13:42:22.680,60950,2 Jan 2023 02:55:49.775,3,[3] gs-madrid,25,[25] north0,1.28868913495795,3750000,178526250000,B
202,15957,1 Jan 2023 14:25:56.532,27023,1 Jan 2023 17:30:22.326,3,[3] gs-madrid,24,[24] circ,1.30746105279816,3750000,41497500000,B
203,15960,1 Jan 2023 14:25:59.355,27024,1 Jan 2023 17:30:23.674,24,[24] circ,3,[3] gs-madrid,1.30746115909837,12500000,138300000000,B
210,16514,1 Jan 2023 14:35:13.999,29790,1 Jan 2023 18:16:29.444,14,[14] ls-10,25,[25] north0,0.0312468474702217,1875000,24892500000,C
211,16514,1 Jan 2023 14:35:13.999,29790,1 Jan 2023 18:16:29.444,25,[25] north0,14,[14] ls-10,0.0312468474702217,12500000,165950000000,C
214,16665,1 Jan 2023 14:37:44.963,45111,1 Jan 2023 22:31:50.616,27,[27] south0,3,[3] gs-madrid,1.2911197120847,12500000,355575000000,B
215,16668,1 Jan 2023 14:37:47.305,45110,1 Jan 2023 22:31:49.299,3,[3] gs-madrid,27,[27] south0,1.2911191217472,3750000,106657500000,B
216,17399,1 Jan 2023 14:49:58.472,35218,1 Jan 2023 19:46:57.120,15,[15] ls-11,24,[24] circ,0.0167388603786578,1875000,33410625000,D
217,17399,1 Jan 2023 14:49:58.472,35218,1 Jan 2023 19:46:57.120,24,[24] circ,15,[15] ls-11,0.0167388603786578,12500000,222737500000,D
266,24767,1 Jan 2023 16:52:46.152,42642,1 Jan 2023 21:50:41.523,16,[16] ls-12,24,[24] circ,0.0166735019078416,1875000,33515625000,D
267,24767,1 Jan 2023 16:52:46.152,42642,1 Jan 2023 21:50:41.523,24,[24] circ,16,[16] ls-12,0.0166735019078416,12500000,223437500000,D
300,31053,1 Jan 2023 18:37:32.367,60355,2 Jan 2023 02:45:54.505,3,[3] gs-madrid,24,[24] circ,1.29233774518618,3750000,109882500000,B
301,31054,1 Jan 2023 18:37:33.712,60352,2 Jan 2023 02:45:51.052,24,[24] circ,3,[3] gs-madrid,1.29233929698626,12500000,366225000000,B
304,32194,1 Jan 2023 18:56:33.157,50014,1 Jan 2023 23:53:33.150,7,[7] ls-03,24,[24] circ,0.0167469444996951,1875000,33412500000,D
305,32194,1 Jan 2023 18:56:33.157,50014,1 Jan 2023 23:53:33.150,24,[24] circ,7,[7] ls-03,0.0167469444996951,12500000,222750000000,D
318,39404,1 Jan 2023 20:56:43.174,57220,2 Jan 2023 01:53:39.699,8,[8] ls-04,24,[24] circ,0.0167416532124249,1875000,33405000000,D
319,39404,1 Jan 2023 20:56:43.174,57220,2 Jan 2023 01:53:39.699,24,[24] circ,8,[8] ls-04,0.0167416532124249,12500000,222700000000,D
333,41878,1 Jan 2023 21:37:57.657,45178,1 Jan 2023 22:32:57.910,27,[27] south0,1,[1] gs-goldstone,1.30901193852164,12500000,41250000000,B
335,41881,1 Jan 2023 21:38:00.098,45177,1 Jan 2023 22:32:56.576,1,[1] gs-goldstone,27,[27] south0,1.30891418881476,3750000,12360000000,B
342,41934,1 Jan 2023 21:38:53.548,88722,2 Jan 2023 10:38:41.499,25,[25] north0,1,[1] gs-goldstone,1.29382691691308,12500000,584850000000,B
344,41937,1 Jan 2023 21:38:56.427,88726,2 Jan 2023 10:38:45.512,1,[1] gs-goldstone,25,[25] north0,1.29382781609962,3750000,175458750000,B
356,42112,1 Jan 2023 21:41:51.618,70889,2 Jan 2023 05:41:28.053,24,[24] circ,1,[1] gs-goldstone,1.29347989216945,12500000,359712500000,B
357,42115,1 Jan 2023 21:41:54.271,70887,2 Jan 2023 05:41:26.703,1,[1] gs-goldstone,24,[24] circ,1.29348315377647,3750000,107895000000,B
398,45677,1 Jan 2023 22:41:16.639,77028,2 Jan 2023 07:23:47.955,6,[6] ls-02,25,[25] north0,0.0235107307232226,1875000,58783125000,C
399,45677,1 Jan 2023 22:41:16.639,77028,2 Jan 2023 07:23:47.955,25,[25] north0,6,[6] ls-02,0.0235107307232226,12500000,391887500000,C
400,46363,1 Jan 2023 22:52:42.116,79605,2 Jan 2023 08:06:44.634,17,[17] ls-13,27,[27] south0,0.0230948482822636,1875000,62328750000,E
401,46363,1 Jan 2023 22:52:42.116,79605,2 Jan 2023 08:06:44.634,27,[27] south0,17,[17] ls-13,0.0230948482822636,12500000,415525000000,E
402,46765,1 Jan 2023 22:59:24.155,64640,2 Jan 2023 03:57:19.468,11,[11] ls-07,24,[24] circ,0.0166735840977797,1875000,33515625000,D
403,46765,1 Jan 2023 22:59:24.155,64640,2 Jan 2023 03:57:19.468,24,[24] circ,11,[11] ls-07,0.0166735840977797,12500000,223437500000,D
404,47077,1 Jan 2023 23:04:36.764,79245,2 Jan 2023 08:00:44.661,18,[18] ls-14,25,[25] north0,0.0246178610923475,1875000,60315000000,C
405,47077,1 Jan 2023 23:04:36.764,79245,2 Jan 2023 08:00:44.661,25,[25] north0,18,[18] ls-14,0.0246178610923475,12500000,402100000000,C
406,47092,1 Jan 2023 23:04:51.465,79801,2 Jan 2023 08:10:00.648,21,[21] ls-17,27,[27] south0,0.0241838476810446,1875000,61329375000,E
407,47092,1 Jan 2023 23:04:51.465,79801,2 Jan 2023 08:10:00.648,27,[27] south0,21,[21] ls-17,0.0241838476810446,12500000,408862500000,E
412,47788,1 Jan 2023 23:16:27.112,81572,2 Jan 2023 08:39:31.873,19,[19] ls-15,25,[25] north0,0.023204762598222,1875000,63345000000,C
413,47788,1 Jan 2023 23:16:27.112,81572,2 Jan 2023 08:39:31.873,25,[25] north0,19,[19] ls-15,0.023204762598222,12500000,422300000000,C
414,48051,1 Jan 2023 23:20:50.196,81223,2 Jan 2023 08:33:42.429,4,[4] ls-00-peary,25,[25] north0,0.0240313720357657,1875000,62197500000,C
415,48051,1 Jan 2023 23:20:50.196,81223,2 Jan 2023 08:33:42.429,25,[25] north0,4,[4] ls-00-peary,0.0240313720357657,12500000,414650000000,C
416,48227,1 Jan 2023 23:23:46.176,81483,2 Jan 2023 08:38:02.643,8,[8] ls-04,25,[25] north0,0.0244122473692717,1875000,62355000000,C
417,48227,1 Jan 2023 23:23:46.176,81483,2 Jan 2023 08:38:02.643,25,[25] north0,8,[8] ls-04,0.0244122473692717,12500000,415700000000,C
418,48343,1 Jan 2023 23:25:42.397,68732,2 Jan 2023 05:05:31.574,13,[13] ls-09,27,[27] south0,0.0276842290219895,1875000,38229375000,E
419,48343,1 Jan 2023 23:25:42.322,60668,2 Jan 2023 02:51:07.453,3,[3] gs-madrid,27,[27] south0,1.32123884628943,3750000,46218750000,B
420,48343,1 Jan 2023 23:25:42.397,68732,2 Jan 2023 05:05:31.574,27,[27] south0,13,[13] ls-09,0.0276842290219895,12500000,254862500000,E
421,48344,1 Jan 2023 23:25:43.634,60664,2 Jan 2023 02:51:03.882,27,[27] south0,3,[3] gs-madrid,1.32124152401883,12500000,154000000000,B
422,48359,1 Jan 2023 23:25:58.366,81525,2 Jan 2023 08:38:44.289,5,[5] ls-01-shackleton,27,[27] south0,0.0240637403528614,1875000,62186250000,E
423,48359,1 Jan 2023 23:25:58.366,81525,2 Jan 2023 08:38:44.289,27,[27] south0,5,[5] ls-01-shackleton,0.0240637403528614,12500000,414575000000,E
424,48377,1 Jan 2023 23:26:16.761,88560,2 Jan 2023 10:35:59.211,1,[1] gs-goldstone,27,[27] south0,1.30404713115725,3750000,150686250000,B
