id,best_t_cost=-1,best_t_pf=-1,sdp_pf=-1,states,t_changes_pf=-1,t_changes_proba_pf=-1,t_cost_pf=-1,ts
69632,3.1725,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 3)])]",0.957125,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[102400],[1.0],3.1725,2
67584,3.00268125,"[OrderedDict([('copies', 1), ('name', 'send3_9-toward:(21, 27, 17)'), ('contact_ids', [22, 28, 18]), ('source_node', 4)])]",0.0006865625000000013,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[98336],[0.001625000000000003],3.00268125,2
66048,1.4725,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 6)])]",0.957125,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[98816],[1.0],1.4725,2
65552,2.0725,"[OrderedDict([('copies', 1), ('name', 'send10_9-toward:(17,)'), ('contact_ids', [18]), ('source_node', 11)])]",0.27462500000000006,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",[98336],[0.65],2.0725,2
65540,2.0536250000000003,"[OrderedDict([('copies', 1), ('name', 'send12_9-toward:(27, 17)'), ('contact_ids', [28, 18]), ('source_node', 13)])]",0.013731250000000014,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",[98336],[0.03250000000000003],2.0536250000000003,2
65538,2.4725,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 14)])]",0.957125,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[98306],[1.0],2.4725,2
65568,1.65,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 10)])]",0.42250000000000004,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",[98336],[1.0],1.65,2
65792,1.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 7)])]",0.65,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",[98560],[1.0],1.0,2
65600,6.808143749999999,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 9)])]",0.6639059375,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",[98368],[1.0],6.808143749999999,2
65537,5.808143749999999,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 15)])]",0.6639059375,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",[98305],[1.0],5.808143749999999,2
66560,4.808143749999999,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 5)])]",0.6639059375,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[99328],[1.0],4.808143749999999,2
65544,3.0867500000000003,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 12)])]",0.8217625,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",[98312],[1.0],3.0867500000000003,2
81920,0.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 1)])]",1.0,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[114688],[1.0],0.0,2
