id,best_t_cost=-1,best_t_pf=-1,sdp_pf=-1,states,t_changes_pf=-1,t_changes_proba_pf=-1,t_cost_pf=-1,ts
131104,1.65,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 10)])]",0.42250000000000004,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",[163872],[1.0],1.65,4
131328,1.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 7)])]",0.65,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",[164096],[1.0],1.0,4
131136,6.808143749999999,"[OrderedDict([('copies', 1), ('name', 'send8_0-toward:(75, 111, 9, 11, 5)'), ('contact_ids', [76, 112, 10, 12, 6]), ('source_node', 9)])]",0.6639059375,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[163904, 163841, 164864, 163848, 164352, 180224]","[0.0, 0.0, 0.3499999999999999, 0.22749999999999998, 0.147875, 0.27462500000000006]",6.808143749999999,4
131073,5.808143749999999,"[OrderedDict([('copies', 1), ('name', 'send14_0-toward:(111, 9, 11, 5)'), ('contact_ids', [112, 10, 12, 6]), ('source_node', 15)])]",0.6639059375,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[163841, 164864, 163848, 164352, 180224]","[0.0, 0.3499999999999999, 0.22749999999999998, 0.147875, 0.27462500000000006]",5.808143749999999,4
132096,4.808143749999999,"[OrderedDict([('copies', 1), ('name', 'send4_0-toward:(9, 11, 5)'), ('contact_ids', [10, 12, 6]), ('source_node', 5)])]",0.6639059375,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","[164864, 163848, 164352, 180224]","[0.3499999999999999, 0.22749999999999998, 0.147875, 0.27462500000000006]",4.808143749999999,4
135168,3.4725,"[OrderedDict([('copies', 1), ('name', 'send2_0-toward:(51, 87, 5)'), ('contact_ids', [52, 88, 6]), ('source_node', 3)])]",0.957125,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","[167936, 163842, 164352, 180224]","[0.0, 0.0, 0.35, 0.65]",3.4725,4
131080,3.0867500000000003,"[OrderedDict([('copies', 1), ('name', 'send11_0-toward:(11, 5)'), ('contact_ids', [12, 6]), ('source_node', 12)])]",0.8217625,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[163848, 164352, 180224]","[0.35, 0.22749999999999998, 0.42250000000000004]",3.0867500000000003,4
131074,2.4725,"[OrderedDict([('copies', 1), ('name', 'send13_0-toward:(87, 5)'), ('contact_ids', [88, 6]), ('source_node', 14)])]",0.957125,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[163842, 164352, 180224]","[0.0, 0.35, 0.65]",2.4725,4
131584,1.4725,"[OrderedDict([('copies', 1), ('name', 'send5_0-toward:(5,)'), ('contact_ids', [6]), ('source_node', 6)])]",0.957125,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)","[164352, 180224]","[0.35, 0.65]",1.4725,4
147456,0.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 1)])]",1.0,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[180224],[1.0],0.0,4
