id,best_t_cost=-1,best_t_pf=-1,sdp_pf=-1,states,t_changes_pf=-1,t_changes_proba_pf=-1,t_cost_pf=-1,ts
426016,1.2,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 10)])]",0.03999999999999998,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",[458784],[1.0],1.2,13
426240,1.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 7)])]",0.19999999999999996,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",[459008],[1.0],1.0,13
430080,3.0,"[OrderedDict([('copies', 1), ('name', 'send2_0-toward:(118, 96, 22)'), ('contact_ids', [119, 97, 23]), ('source_node', 3)])]",0.19999999999999996,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[475136],[0.19999999999999996],3.0,13
426496,1.0,"[OrderedDict([('copies', 1), ('name', 'send5_0-toward:(22,)'), ('contact_ids', [23]), ('source_node', 6)])]",0.19999999999999996,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[475136],[0.19999999999999996],1.0,13
425986,2.0,"[OrderedDict([('copies', 1), ('name', 'send13_0-toward:(96, 22)'), ('contact_ids', [97, 23]), ('source_node', 14)])]",0.19999999999999996,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[475136],[0.19999999999999996],2.0,13
442368,0.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 1)])]",1.0,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[475136],[1.0],0.0,13
