id,best_t_cost=-1,best_t_pf=-1,sdp_pf=-1,states,t_changes_pf=-1,t_changes_proba_pf=-1,t_cost_pf=-1,ts
98336,1.65,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 10)])]",0.42250000000000004,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",[131104],[1.0],1.65,3
98560,1.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 7)])]",0.65,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",[131328],[1.0],1.0,3
102400,3.1725,"[OrderedDict([('copies', 1), ('name', 'send2_5-toward:(0,)'), ('contact_ids', [1]), ('source_node', 3)])]",0.957125,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","[135168, 131584]","[0.35, 0.65]",3.1725,3
99328,4.808143749999999,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 5)])]",0.6639059375,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[132096],[1.0],4.808143749999999,3
98816,1.4725,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 6)])]",0.957125,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[131584],[1.0],1.4725,3
98306,2.4725,"[OrderedDict([('copies', 1), ('name', 'send13_5-toward:(86,)'), ('contact_ids', [87]), ('source_node', 14)])]",0.957125,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[131074, 131584]","[0.0, 1.0]",2.4725,3
98305,5.808143749999999,"[OrderedDict([('copies', 1), ('name', 'send14_4-toward:(110,)'), ('contact_ids', [111]), ('source_node', 15)])]",0.6639059375,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[131073, 132096]","[0.0, 1.0]",5.808143749999999,3
98368,6.808143749999999,"[OrderedDict([('copies', 1), ('name', 'send8_4-toward:(74, 110)'), ('contact_ids', [75, 111]), ('source_node', 9)])]",0.6639059375,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[131136, 131073, 132096]","[0.0, 0.0, 1.0]",6.808143749999999,3
98312,3.0867500000000003,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 12)])]",0.8217625,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",[131080],[1.0],3.0867500000000003,3
114688,0.0,"[OrderedDict([('copies', 1), ('name', 'next'), ('contact_ids', []), ('source_node', 1)])]",1.0,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",[147456],[1.0],0.0,3
